RECORDING_SESSION_LABEL	TRIAL_INDEX	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	calibration	condition	phase	session	video_file	video_id	video_latency	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_21	IA_FSA_COUNT_22	IA_FSA_COUNT_23	IA_FSA_COUNT_24	IA_FSA_DURATION_21	IA_FSA_DURATION_22	IA_FSA_DURATION_23	IA_FSA_DURATION_24	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	bg	bg_code	frame_number
Beny_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	1	False	starjumps50.mp4	hab	hab1	test_session	occlusion_habituation_100fps.mp4	1	4500	Beny_1.edf	RIGHT	condition: phase	138000.00	.	620	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	0	0	0	.	.	21	.	right_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	774	0	0	.	.	.	.	.	.	.	.	.	.	1074	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 0, 22]	true	2364641	6	video_running	true	2361287	Fixations	3158.00	7	3	Trial: 1	2359449	2	.	.	.
Beny_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	1	False	starjumps50.mp4	hab	hab1	test_session	occlusion_habituation_100fps.mp4	1	4500	Beny_1.edf	RIGHT	condition: phase	138000.00	4639.67	620	2053	0.6501	false	.	365	1	.	.	1	1838	0	550.10	366.70	1	365	2202	0.1429	1	164.10	.	1838	.	.	.	.	.	0.4286	3	0	1	1	.	0	850	227	.	.	22	.	pole_AOI	850	2	4342	621.10	398.10	1688	5192	0.2857	2	92.30	61.50	3469	3.62	20.96	4341	6	4307	386	0	0	5882.00	3834.00	.	0	0	0	0	0	0	365	686	2	838	2	3469	478.30	473.30	1688	5192	0.2857	2	92.30	61.50	3469	365	0	227	.	850	2	4342	621.10	398.10	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 0, 22]	true	2364641	6	video_running	true	2361287	Fixations	3158.00	7	3	Trial: 1	2359449	2	.	.	.
Beny_1	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	1	False	starjumps50.mp4	hab	hab1	test_session	occlusion_habituation_100fps.mp4	1	4500	Beny_1.edf	RIGHT	condition: phase	138000.00	4455.33	620	817	0.2587	false	.	227	2	22	[22]	2	2271	1	27.00	518.10	1	817	3114	0.4286	3	77.00	-600.10	2271	15.48	-167.56	2270	1	2203	0.4286	3	0	0	2	.	0	0	590	.	.	23	.	left_AOI	355	1	2760	114.90	490.40	817	3114	0.4286	3	77.00	-600.10	2271	1.19	6.24	2759	3	2743	-50	1	1	4554.00	4356.00	.	0	0	0	0	0	0	2505	250	1	235	1	2508	34.80	501.70	.	.	.	.	.	.	.	817	0	.	.	355	1	2760	114.90	490.40	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 0, 22]	true	2364641	6	video_running	true	2361287	Fixations	3158.00	7	3	Trial: 1	2359449	2	.	.	.
Beny_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	2	False	starjumps50.mp4	hab	hab2	test_session	occlusion_habituation_100fps.mp4	2	4500	Beny_1.edf	RIGHT	condition: phase	138000.00	.	620	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	0	0	0	.	.	21	.	right_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	774	0	0	.	.	.	.	.	.	.	.	.	.	1074	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 22]	true	2370653	6	video_running	true	2367296	Fixations	3134.00	6	3	Trial: 2	2366372	2	.	.	.
Beny_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	2	False	starjumps50.mp4	hab	hab2	test_session	occlusion_habituation_100fps.mp4	2	4500	Beny_1.edf	RIGHT	condition: phase	138000.00	4114.33	620	2322	0.7409	false	.	335	1	.	.	1	924	0	491.30	283.80	1	335	1258	0.1667	1	105.30	.	924	.	.	.	.	.	0.5000	3	0	1	1	.	0	1754	113	.	.	22	.	pole_AOI	1754	2	2527	467.30	534.00	1987	4281	0.3333	2	202.40	194.10	2243	4.83	-138.27	2526	5	2476	386	0	0	5834.00	3228.00	.	1	1	0	0	0	0	335	686	2	233	2	2243	588.40	417.60	1987	4281	0.3333	2	202.40	194.10	2243	335	0	113	.	1754	2	2527	467.30	534.00	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 22]	true	2370653	6	video_running	true	2367296	Fixations	3134.00	6	3	Trial: 2	2366372	2	.	.	.
Beny_1	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	2	False	starjumps50.mp4	hab	hab2	test_session	occlusion_habituation_100fps.mp4	2	4500	Beny_1.edf	RIGHT	condition: phase	138000.00	4206.00	620	812	0.2591	false	.	113	2	22	[22]	2	1320	1	145.20	442.80	1	812	2186	0.5000	3	195.20	-541.30	1320	11.06	-160.85	1319	1	1259	0.5000	3	0	1	2	.	0	233	699	.	.	23	.	left_AOI	208	1	1979	191.90	502.40	812	2186	0.5000	3	195.20	-541.30	1320	3.42	3.02	1978	3	1946	-50	1	1	4723.00	3817.00	.	0	0	1	1	1	1	2799	250	1	491	1	1455	45.50	498.00	.	.	.	.	.	.	.	812	0	.	.	208	1	1979	191.90	502.40	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 22]	true	2370653	6	video_running	true	2367296	Fixations	3134.00	6	3	Trial: 2	2366372	2	.	.	.
Beny_1	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	3	False	starjumps50.mp4	hab	hab3	test_session	occlusion_habituation_100fps.mp4	3	4500	Beny_1.edf	RIGHT	condition: phase	138000.00	.	620	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	0	0	0	.	.	21	.	right_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	774	0	0	.	.	.	.	.	.	.	.	.	.	1074	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 22]	true	2376178	6	video_running	true	2372820	Fixations	3076.00	6	3	Trial: 3	2372361	2	.	.	.
Beny_1	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	3	False	starjumps50.mp4	hab	hab3	test_session	occlusion_habituation_100fps.mp4	3	4500	Beny_1.edf	RIGHT	condition: phase	138000.00	2620.33	620	2136	0.6944	false	.	251	1	.	.	1	459	0	537.00	472.20	1	251	709	0.1667	1	151.00	.	459	.	.	.	.	.	0.5000	3	0	1	1	.	0	1655	162	.	.	22	.	pole_AOI	1655	2	2162	507.90	523.40	1885	3817	0.3333	2	197.00	218.10	1908	2.14	-145.07	2161	5	2138	386	0	0	2902.00	2343.00	.	1	1	0	0	0	0	251	686	2	230	2	1908	583.00	440.20	1885	3817	0.3333	2	197.00	218.10	1908	251	0	162	.	1655	2	2162	507.90	523.40	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 22]	true	2376178	6	video_running	true	2372820	Fixations	3076.00	6	3	Trial: 3	2372361	2	.	.	.
Beny_1	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	3	False	starjumps50.mp4	hab	hab3	test_session	occlusion_habituation_100fps.mp4	3	4500	Beny_1.edf	RIGHT	condition: phase	138000.00	2769.00	620	940	0.3056	false	.	162	2	22	[22]	2	781	1	45.40	510.60	1	940	1783	0.5000	3	95.40	-587.00	781	13.94	-178.88	780	1	710	0.5000	3	0	1	2	.	0	230	778	.	.	23	.	left_AOI	207	1	1577	167.90	550.60	940	1783	0.5000	3	95.40	-587.00	781	4.45	8.24	1576	3	1537	-50	1	1	2944.00	2643.00	.	0	0	1	1	1	1	2825	250	1	571	1	966	-47.80	566.10	.	.	.	.	.	.	.	940	0	.	.	207	1	1577	167.90	550.60	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 22]	true	2376178	6	video_running	true	2372820	Fixations	3076.00	6	3	Trial: 3	2372361	2	.	.	.
Beny_1	4	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	4	False	starjumps50.mp4	exp	test	test_session	occlusion_disappear_100fps.mp4	4	13500	Beny_1.edf	RIGHT	condition: phase	138000.00	.	620	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	0	0	0	.	.	21	.	right_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	774	0	0	.	.	.	.	.	.	.	.	.	.	1074	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 22]	true	2381670	6	video_running	true	2378314	Fixations	3171.00	6	3	Trial: 4	2377920	2	.	.	.
Beny_1	4	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	4	False	starjumps50.mp4	exp	test	test_session	occlusion_disappear_100fps.mp4	4	13500	Beny_1.edf	RIGHT	condition: phase	138000.00	2573.25	620	2498	0.7878	false	.	70	1	.	.	1	394	0	387.60	429.70	1	340	758	0.3333	2	1.60	.	394	.	.	.	.	.	0.6667	4	0	2	1	.	0	2263	542	.	.	22	.	pole_AOI	1993	2	1757	488.30	483.80	2158	3750	0.3333	2	44.90	266.80	1573	1.01	4.88	1756	5	1738	386	0	0	2713.00	2375.00	.	1	1	0	0	0	0	340	686	2	270	1	489	510.90	440.00	2158	3750	0.3333	2	44.90	266.80	1573	340	0	542	.	165	2	1573	430.90	493.00	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 22]	true	2381670	6	video_running	true	2378314	Fixations	3171.00	6	3	Trial: 4	2377920	2	.	.	.
Beny_1	4	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_1	4	False	starjumps50.mp4	exp	test	test_session	occlusion_disappear_100fps.mp4	4	13500	Beny_1.edf	RIGHT	condition: phase	138000.00	2454.50	620	673	0.2122	false	.	542	3	22	[22]	2	829	1	-7.00	534.90	1	673	1525	0.3333	2	43.00	-560.90	829	15.64	-172.45	828	2	759	0.3333	2	0	1	1	.	0	165	131	.	.	23	.	left_AOI	131	1	1395	119.20	531.50	673	1525	0.3333	2	43.00	-560.90	829	2.47	2.92	1394	3	1371	-50	1	1	2474.00	2435.00	.	0	0	1	1	1	1	2831	250	1	131	1	1395	119.20	531.50	.	.	.	.	.	.	.	673	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	160	RECTANGLE	[22, 23, 22]	true	2381670	6	video_running	true	2378314	Fixations	3171.00	6	3	Trial: 4	2377920	2	.	.	.
Beny_2	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_2	1	False	duck64.mp4	hab	hab1	control_session	occlusion_habituation_100fps.mp4	5	4500	Beny_2.edf	RIGHT	condition: phase	138000.00	.	620	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	0	0	0	.	.	21	.	right_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	774	0	0	.	.	.	.	.	.	.	.	.	.	1074	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	160	RECTANGLE	[22, 0, 22, 23]	true	2738646	6	video_running	true	2735294	Fixations	2931.00	5	3	Trial: 1	2734877	2	.	.	.
Beny_2	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_2	1	False	duck64.mp4	hab	hab1	control_session	occlusion_habituation_100fps.mp4	5	4500	Beny_2.edf	RIGHT	condition: phase	138000.00	2619.00	620	2139	0.7298	false	.	376	1	.	.	1	417	0	463.70	290.80	1	376	792	0.2000	1	77.70	.	417	.	.	.	.	.	0.4000	2	0	0	1	.	0	0	36	.	.	22	.	pole_AOI	1763	2	1751	479.00	465.90	1763	3513	0.2000	1	93.00	209.30	1751	11.24	37.80	1750	3	1681	386	0	0	3048.00	2190.00	.	0	0	0	0	0	0	2139	686	2	1763	2	1751	479.00	465.90	1763	3513	0.2000	1	93.00	209.30	1751	2139	0	36	.	.	.	.	.	.	.	.	.	.	.	.	.	160	RECTANGLE	[22, 0, 22, 23]	true	2738646	6	video_running	true	2735294	Fixations	2931.00	5	3	Trial: 1	2734877	2	.	.	.
Beny_2	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_2	1	False	duck64.mp4	hab	hab1	control_session	occlusion_habituation_100fps.mp4	5	4500	Beny_2.edf	RIGHT	condition: phase	138000.00	2264.00	620	36	0.0123	false	.	36	5	22	[22]	4	3733	1	48.90	428.30	1	36	3769	0.2000	1	98.90	-529.00	3733	13.08	174.91	3732	4	3514	0.2000	1	0	0	0	.	0	0	0	.	.	23	.	left_AOI	36	1	3733	48.90	428.30	36	3769	0.2000	1	98.90	-529.00	3733	13.08	174.91	3732	4	3514	-50	1	1	2264.00	2264.00	.	0	0	0	0	0	0	36	250	1	.	.	.	.	.	.	.	.	.	.	.	.	36	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	160	RECTANGLE	[22, 0, 22, 23]	true	2738646	6	video_running	true	2735294	Fixations	2931.00	5	3	Trial: 1	2734877	2	.	.	.
Beny_2	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Beny_2	2	False	duck64.mp4	hab	hab2	control_session	occlusion_habituation_100fps.mp4	6	4500	Beny_2.edf	RIGHT	condition: phase	138000.00	.	620	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	0	0	0	.	.	21	.	right_AOI	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	774	0	0	.	.	.	.	.	.	.	.	.	.	1074	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	160	RECTANGLE	[22, 0, 22]	true	2745488	6	video_running	true	2742131	Fixations	3143.00	5	3	Trial: 2	2740350	1	.	.	.
