RECORDING_SESSION_LABEL,TRIAL_INDEX,AG_Audio_LIST,AG_Loc,AG_VIDEO,Drift_Check,Session_Name_,Trial_Index_,Trial_Recycled_,calibration,condition,phase,session,video_file,video_id,video_latency,DATA_FILE,EYE_USED,GROUPING_VARIABLES,IA_AREA,IA_AVERAGE_FIX_PUPIL_SIZE,IA_BOTTOM,IA_DWELL_TIME,IA_DWELL_TIME_%,IA_DYNAMIC,IA_END_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_INDEX,IA_FIRST_FIXATION_PREVIOUS_FIX_IA,IA_FIRST_FIXATION_PREVIOUS_IAREAS,IA_FIRST_FIXATION_RUN_INDEX,IA_FIRST_FIXATION_TIME,IA_FIRST_FIXATION_VISITED_IA_COUNT,IA_FIRST_FIXATION_X,IA_FIRST_FIXATION_Y,IA_FIRST_FIX_PROGRESSIVE,IA_FIRST_RUN_DWELL_TIME,IA_FIRST_RUN_END_TIME,IA_FIRST_RUN_FIXATION_%,IA_FIRST_RUN_FIXATION_COUNT,IA_FIRST_RUN_LANDING_POSITION,IA_FIRST_RUN_LAUNCH_SITE,IA_FIRST_RUN_START_TIME,IA_FIRST_SACCADE_AMPLITUDE,IA_FIRST_SACCADE_ANGLE,IA_FIRST_SACCADE_END_TIME,IA_FIRST_SACCADE_INDEX,IA_FIRST_SACCADE_START_TIME,IA_FIXATION_%,IA_FIXATION_COUNT,IA_FSA_COUNT_21,IA_FSA_COUNT_22,IA_FSA_COUNT_23,IA_FSA_DURATION_21,IA_FSA_DURATION_22,IA_FSA_DURATION_23,IA_GROUP,IA_ID,IA_INSTANCES_COUNT,IA_LABEL,IA_LAST_FIXATION_DURATION,IA_LAST_FIXATION_RUN,IA_LAST_FIXATION_TIME,IA_LAST_FIXATION_X,IA_LAST_FIXATION_Y,IA_LAST_RUN_DWELL_TIME,IA_LAST_RUN_END_TIME,IA_LAST_RUN_FIXATION_%,IA_LAST_RUN_FIXATION_COUNT,IA_LAST_RUN_LANDING_POSITION,IA_LAST_RUN_LAUNCH_SITE,IA_LAST_RUN_START_TIME,IA_LAST_SACCADE_AMPLITUDE,IA_LAST_SACCADE_ANGLE,IA_LAST_SACCADE_END_TIME,IA_LAST_SACCADE_INDEX,IA_LAST_SACCADE_START_TIME,IA_LEFT,IA_LEGAL,IA_LEGAL_IMMEDIATE,IA_MAX_FIX_PUPIL_SIZE,IA_MIN_FIX_PUPIL_SIZE,IA_POINTS,IA_REGRESSION_IN,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT,IA_REGRESSION_OUT_COUNT,IA_REGRESSION_OUT_FULL,IA_REGRESSION_OUT_FULL_COUNT,IA_REGRESSION_PATH_DURATION,IA_RIGHT,IA_RUN_COUNT,IA_SECOND_FIXATION_DURATION,IA_SECOND_FIXATION_RUN,IA_SECOND_FIXATION_TIME,IA_SECOND_FIXATION_X,IA_SECOND_FIXATION_Y,IA_SECOND_RUN_DWELL_TIME,IA_SECOND_RUN_END_TIME,IA_SECOND_RUN_FIXATION_%,IA_SECOND_RUN_FIXATION_COUNT,IA_SECOND_RUN_LANDING_POSITION,IA_SECOND_RUN_LAUNCH_SITE,IA_SECOND_RUN_START_TIME,IA_SELECTIVE_REGRESSION_PATH_DURATION,IA_SKIP,IA_SPILLOVER,IA_START_TIME,IA_THIRD_FIXATION_DURATION,IA_THIRD_FIXATION_RUN,IA_THIRD_FIXATION_TIME,IA_THIRD_FIXATION_X,IA_THIRD_FIXATION_Y,IA_THIRD_RUN_DWELL_TIME,IA_THIRD_RUN_END_TIME,IA_THIRD_RUN_FIXATION_%,IA_THIRD_RUN_FIXATION_COUNT,IA_THIRD_RUN_LANDING_POSITION,IA_THIRD_RUN_LAUNCH_SITE,IA_THIRD_RUN_START_TIME,IA_TOP,IA_TYPE,INTEREST_AREA_FIXATION_SEQUENCE,IP_END_EVENT_MATCHED,IP_END_TIME,IP_INDEX,IP_LABEL,IP_START_EVENT_MATCHED,IP_START_TIME,REPORTING_METHOD,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,TRIAL_IA_COUNT,TRIAL_LABEL,TRIAL_START_TIME,TRIAL_TOTAL_VISITED_IA_COUNT,bg,bg_code,frame_number
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,,620,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,21,,right_AOI,,,,,,,,,,,,,,,,,,774,0,0,,,,,,,,,,,1074,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 23, 0, 22, 0]",TRUE,2365789,1,video_IP,TRUE,2361287,Fixations,4178,8,3,Trial: 1,2359449,2,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,4639.67,620,2858,0.6841,FALSE,,365,1,,,1,1838,0,550.1,366.7,1,365,2202,0.125,1,164.1,,1838,,,,,,0.375,3,0,1,1,0,1655,227,,22,,pole_AOI,1655,2,4342,621.1,398.1,2493,5996,0.25,2,92.3,61.5,3469,3.62,20.96,4341,6,4307,386,0,0,5882,3834,,0,0,0,0,0,0,365,686,2,838,2,3469,478.3,473.3,2493,5996,0.25,2,92.3,61.5,3469,365,0,227,,1655,2,4342,621.1,398.1,,,,,,,,160,RECTANGLE,"[22, 23, 0, 22, 0]",TRUE,2365789,1,video_IP,TRUE,2361287,Fixations,4178,8,3,Trial: 1,2359449,2,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,4455.33,620,817,0.1955,FALSE,,227,2,22,[22],2,2271,1,27,518.1,1,817,3114,0.375,3,77,-600.1,2271,15.48,-167.56,2270,1,2203,0.375,3,0,0,2,0,0,590,,23,,left_AOI,355,1,2760,114.9,490.4,817,3114,0.375,3,77,-600.1,2271,1.19,6.24,2759,3,2743,-50,1,1,4554,4356,,0,0,0,0,0,0,3310,250,1,235,1,2508,34.8,501.7,,,,,,,,817,0,,,355,1,2760,114.9,490.4,,,,,,,,160,RECTANGLE,"[22, 23, 0, 22, 0]",TRUE,2365789,1,video_IP,TRUE,2361287,Fixations,4178,8,3,Trial: 1,2359449,2,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,,620,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,21,,right_AOI,,,,,,,,,,,,,,,,,,774,0,0,,,,,,,,,,,1074,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 0]",TRUE,2365789,2,test_IP_long,TRUE,2362985,Fixations,2641,3,3,Trial: 1,2359449,1,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,4018.5,620,2426,0.9186,FALSE,,771,1,,,1,3536,0,478.3,473.3,1,2426,5996,0.6667,2,92.3,,3536,,,,,,0.6667,2,0,1,0,0,1655,0,,22,,pole_AOI,1655,1,4342,621.1,398.1,2426,5996,0.6667,2,92.3,,3536,3.62,20.96,4341,1,4307,386,0,0,4203,3834,,0,0,0,0,0,0,2426,686,1,1655,1,4342,621.1,398.1,,,,,,,,2426,0,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 0]",TRUE,2365789,2,test_IP_long,TRUE,2362985,Fixations,2641,3,3,Trial: 1,2359449,1,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,,620,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,23,,left_AOI,,,,,,,,,,,,,,,,,,-50,0,0,,,,,,,,,,,250,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 0]",TRUE,2365789,2,test_IP_long,TRUE,2362985,Fixations,2641,3,3,Trial: 1,2359449,1,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,,620,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,21,,right_AOI,,,,,,,,,,,,,,,,,,774,0,0,,,,,,,,,,,1074,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,160,RECTANGLE,"[22, 23, 0, 22]",TRUE,2362985,3,start_IP,TRUE,2361287,Fixations,1537,6,3,Trial: 1,2359449,2,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,4858,620,432,0.2811,FALSE,,365,1,,,1,1838,0,550.1,366.7,1,365,2202,0.1667,1,164.1,,1838,,,,,,0.3333,2,0,0,1,0,0,227,,22,,pole_AOI,67,2,3469,478.3,473.3,67,3536,0.1667,1,92.3,61.5,3469,2.67,-2.12,3468,5,3441,386,0,0,5882,3834,,0,0,0,0,0,0,365,686,2,67,2,3469,478.3,473.3,67,3536,0.1667,1,92.3,61.5,3469,365,0,227,,,,,,,,,,,,,,160,RECTANGLE,"[22, 23, 0, 22]",TRUE,2362985,3,start_IP,TRUE,2361287,Fixations,1537,6,3,Trial: 1,2359449,2,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,4455.33,620,817,0.5316,FALSE,,227,2,22,[22],2,2271,1,27,518.1,1,817,3114,0.5,3,77,-600.1,2271,15.48,-167.56,2270,1,2203,0.5,3,0,0,2,0,0,590,,23,,left_AOI,355,1,2760,114.9,490.4,817,3114,0.5,3,77,-600.1,2271,1.19,6.24,2759,3,2743,-50,1,1,4554,4356,,0,0,0,0,0,0,884,250,1,235,1,2508,34.8,501.7,,,,,,,,817,0,,,355,1,2760,114.9,490.4,,,,,,,,160,RECTANGLE,"[22, 23, 0, 22]",TRUE,2362985,3,start_IP,TRUE,2361287,Fixations,1537,6,3,Trial: 1,2359449,2,,,
Beny_1,1,"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]","(512, 384)",,0,Beny_1,1,FALSE,starjumps50.mp4,hab,hab1,test_session,occlusion_habituation_100fps.mp4,1,4500,Beny_1.edf,RIGHT,condition: phase,138000,,620,0,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,21,,right_AOI,,,,,,,,,,,,,,,,,,774,0,0,,,,,,,,,,,1074,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,160,RECTANGLE,[22],TRUE,2364290,4,disappear_IP,TRUE,2362985,Fixations,1270,2,3,Trial: 1,2359449,1,,,
