start,end,id,x_l,y_up,x_r,y_low,label
0,99,24,-41,414,69,524,ball_AoI
100,200,24,-39,406,71,516,ball_AoI
201,300,24,-36,405,74,515,ball_AoI
301,401,24,-30,405,80,515,ball_AoI
402,501,24,-19,405,91,515,ball_AoI
502,601,24,-2,407,108,517,ball_AoI
602,802,24,12,405,122,515,ball_AoI
803,1003,24,67,405,177,515,ball_AoI
1004,1204,24,137,405,247,515,ball_AoI
1205,1404,24,217,405,327,515,ball_AoI
1405,1605,24,311,405,421,515,ball_AoI
1606,1806,24,395,405,505,515,ball_AoI
1807,2006,24,484,405,594,515,ball_AoI
2007,2207,24,569,405,679,515,ball_AoI
2208,2408,24,645,405,755,515,ball_AoI
2409,2609,24,722,402,832,512,ball_AoI
2610,2799,24,793,402,903,512,ball_AoI
2800,3000,24,863,399,973,509,ball_AoI
3001,3101,24,935,399,1045,509,ball_AoI
3102,3201,24,960,399,1070,509,ball_AoI
3202,3261,24,993,399,1103,509,ball_AoI
3262,3263,24,1020,399,1130,509,ball_AoI
3263,13522,24,1020,399,1130,509,ball_AoI
13522,13522,24,1020,399,1130,509,ball_AoI
