RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_1	IA_FSA_COUNT_2	IA_FSA_COUNT_3	IA_FSA_DURATION_1	IA_FSA_DURATION_2	IA_FSA_DURATION_3	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	bg	bg_code	calibration	condition	frame_number	phase	session	trial_w_session	video_file	video_id	video_latency
Ace_1	1	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	.	515	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	.	1	.	IA_IA_between_screens	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	387	0	0	.	.	.	.	.	.	.	.	.	.	637	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[2]	true	1218389	2	end_IP	true	1218192	Fixations	197.00	1	3	Trial: 1	1213055	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab1	control_session	1	two_occluders_familiarisation.mp4	6	5200
Ace_1	1	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	5527.00	515	197	1.0000	false	.	197	1	.	.	1	5137	0	837.60	302.60	1	197	5334	1.0000	1	122.60	.	5137	.	.	.	.	.	1.0000	1	0	0	0	0	0	0	.	2	.	IA_end_position	197	1	5137	837.60	302.60	197	5334	1.0000	1	122.60	.	5137	.	.	.	.	.	715	0	0	5527.00	5527.00	.	0	0	0	0	0	0	197	965	1	.	.	.	.	.	.	.	.	.	.	.	.	197	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[2]	true	1218389	2	end_IP	true	1218192	Fixations	197.00	1	3	Trial: 1	1213055	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab1	control_session	1	two_occluders_familiarisation.mp4	6	5200
Ace_1	1	Ace_1.edf	RIGHT	RECORDING_SESSION	786432.00	5527.00	768	197	1.0000	false	.	197	1	.	.	1	5137	0	837.60	302.60	.	197	5334	1.0000	1	837.60	.	5137	.	.	.	.	.	1.0000	1	0	0	0	0	0	0	.	3	.	screen_aoi	197	1	5137	837.60	302.60	197	5334	1.0000	1	837.60	.	5137	.	.	.	.	.	0	0	0	5527.00	5527.00	.	0	0	0	0	0	0	.	1024	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	RECTANGLE	[2]	true	1218389	2	end_IP	true	1218192	Fixations	197.00	1	3	Trial: 1	1213055	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab1	control_session	1	two_occluders_familiarisation.mp4	6	5200
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	.	515	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	.	1	.	IA_IA_between_screens	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	387	0	0	.	.	.	.	.	.	.	.	.	.	637	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[2]	true	1224518	2	end_IP	true	1224323	Fixations	195.00	1	3	Trial: 2	1218968	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab2	control_session	2	two_occluders_familiarisation.mp4	7	5200
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	5908.00	515	195	1.0000	false	.	195	1	.	.	1	5355	0	775.20	268.30	1	195	5550	1.0000	1	60.20	.	5355	.	.	.	.	.	1.0000	1	0	0	0	0	0	0	.	2	.	IA_end_position	195	1	5355	775.20	268.30	195	5550	1.0000	1	60.20	.	5355	.	.	.	.	.	715	0	0	5908.00	5908.00	.	0	0	0	0	0	0	195	965	1	.	.	.	.	.	.	.	.	.	.	.	.	195	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[2]	true	1224518	2	end_IP	true	1224323	Fixations	195.00	1	3	Trial: 2	1218968	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab2	control_session	2	two_occluders_familiarisation.mp4	7	5200
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	786432.00	5908.00	768	195	1.0000	false	.	195	1	.	.	1	5355	0	775.20	268.30	.	195	5550	1.0000	1	775.20	.	5355	.	.	.	.	.	1.0000	1	0	0	0	0	0	0	.	3	.	screen_aoi	195	1	5355	775.20	268.30	195	5550	1.0000	1	775.20	.	5355	.	.	.	.	.	0	0	0	5908.00	5908.00	.	0	0	0	0	0	0	.	1024	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	RECTANGLE	[2]	true	1224518	2	end_IP	true	1224323	Fixations	195.00	1	3	Trial: 2	1218968	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab2	control_session	2	two_occluders_familiarisation.mp4	7	5200
Ace_1	3	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	.	515	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	.	1	.	IA_IA_between_screens	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	387	0	0	.	.	.	.	.	.	.	.	.	.	637	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[2]	true	1230788	2	end_IP	true	1230588	Fixations	200.00	1	3	Trial: 3	1225144	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	3	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab3	control_session	3	two_occluders_familiarisation.mp4	8	5200
Ace_1	3	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	6150.00	515	200	1.0000	false	.	200	1	.	.	1	5444	0	796.70	254.10	1	200	5644	1.0000	1	81.70	.	5444	.	.	.	.	.	1.0000	1	0	0	0	0	0	0	.	2	.	IA_end_position	200	1	5444	796.70	254.10	200	5644	1.0000	1	81.70	.	5444	.	.	.	.	.	715	0	0	6150.00	6150.00	.	0	0	0	0	0	0	200	965	1	.	.	.	.	.	.	.	.	.	.	.	.	200	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[2]	true	1230788	2	end_IP	true	1230588	Fixations	200.00	1	3	Trial: 3	1225144	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	3	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab3	control_session	3	two_occluders_familiarisation.mp4	8	5200
Ace_1	3	Ace_1.edf	RIGHT	RECORDING_SESSION	786432.00	6150.00	768	200	1.0000	false	.	200	1	.	.	1	5444	0	796.70	254.10	.	200	5644	1.0000	1	796.70	.	5444	.	.	.	.	.	1.0000	1	0	0	0	0	0	0	.	3	.	screen_aoi	200	1	5444	796.70	254.10	200	5644	1.0000	1	796.70	.	5444	.	.	.	.	.	0	0	0	6150.00	6150.00	.	0	0	0	0	0	0	.	1024	1	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	RECTANGLE	[2]	true	1230788	2	end_IP	true	1230588	Fixations	200.00	1	3	Trial: 3	1225144	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	3	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab3	control_session	3	two_occluders_familiarisation.mp4	8	5200
Ace_1	4	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	.	515	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	0	0	0	.	1	.	IA_IA_between_screens	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	387	0	0	.	.	.	.	.	.	.	.	.	.	637	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[2, 3]	true	1240236	2	end_IP	true	1236736	Fixations	3286.00	4	3	Trial: 4	1231413	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	4	False	white	(230, 230, 230)	w_minion32.mp4	con	30.3	test1	control_session	4	two_occluders_reappear.mp4	9	8500
