RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_1	IA_FSA_COUNT_2	IA_FSA_COUNT_3	IA_FSA_DURATION_1	IA_FSA_DURATION_2	IA_FSA_DURATION_3	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	bg	bg_code	calibration	condition	frame_number	phase	session	trial_w_session	video_file	video_id	video_latency
Ace_1	1	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	5256.67	515	1934	0.4082	false	.	231	1	.	.	1	127	0	484.50	311.40	1	231	357	0.0909	1	97.50	.	127	.	.	.	.	.	0.2727	3	1	1	1	979	263	168	.	1	.	IA_IA_between_screens	979	2	3762	608.50	280.20	1703	4740	0.1818	2	160.70	18.90	3020	0.78	8.07	3761	8	3744	387	1	1	5735.00	4327.00	.	1	1	0	0	0	0	231	637	2	724	2	3020	547.70	290.50	1703	4740	0.1818	2	160.70	18.90	3020	231	0	.	.	979	2	3762	608.50	280.20	.	.	.	.	.	.	.	215	RECTANGLE	[1, 3, 1, 2]	true	1218180	3	video_playing_IP	true	1213182	Fixations	4738.00	11	3	Trial: 1	1213055	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab1	control_session	1	two_occluders_familiarisation.mp4	6	5200
Ace_1	1	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	5670.50	515	334	0.0705	false	.	263	10	1	[1, 3]	4	4776	2	773.70	281.00	0	334	5125	0.1818	2	58.70	106.50	4776	3.39	-3.85	4775	9	4741	0.1818	2	0	1	0	0	71	0	.	2	.	IA_end_position	71	1	5054	837.60	302.60	334	5125	0.1818	2	58.70	106.50	4776	0.65	-30.92	5053	10	5039	715	0	0	5814.00	5527.00	.	0	0	0	0	0	0	334	965	1	71	1	5054	837.60	302.60	.	.	.	.	.	.	.	334	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[1, 3, 1, 2]	true	1218180	3	video_playing_IP	true	1213182	Fixations	4738.00	11	3	Trial: 1	1213055	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab1	control_session	1	two_occluders_familiarisation.mp4	6	5200
Ace_1	1	Ace_1.edf	RIGHT	RECORDING_SESSION	786432.00	5413.64	768	4738	1.0000	false	.	231	1	.	.	1	127	0	484.50	311.40	1	4738	5125	1.0000	11	484.50	.	127	.	.	.	.	.	1.0000	11	1	0	5	724	0	2302	.	3	.	screen_aoi	71	1	5054	837.60	302.60	4738	5125	1.0000	11	484.50	.	127	0.65	-30.92	5053	10	5039	0	0	0	6102.00	4259.00	.	0	0	1	1	1	1	4507	1024	1	168	1	435	110.10	361.40	.	.	.	.	.	.	.	2470	0	.	.	304	1	617	81.10	315.80	.	.	.	.	.	.	.	0	RECTANGLE	[1, 3, 1, 2]	true	1218180	3	video_playing_IP	true	1213182	Fixations	4738.00	11	3	Trial: 1	1213055	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab1	control_session	1	two_occluders_familiarisation.mp4	6	5200
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	5846.80	515	1535	0.3240	false	.	89	1	.	.	1	345	0	606.90	289.10	1	235	596	0.1818	2	219.90	.	345	.	.	.	.	.	0.4545	5	3	0	2	1203	0	621	.	1	.	IA_IA_between_screens	734	2	3782	568.80	255.00	1300	4515	0.2727	3	104.70	81.70	3197	0.38	-9.11	3781	8	3772	387	1	1	6531.00	4857.00	.	1	1	0	0	0	0	235	637	2	146	1	451	537.90	318.50	1300	4515	0.2727	3	104.70	81.70	3197	235	0	.	.	243	2	3197	491.70	226.10	.	.	.	.	.	.	.	215	RECTANGLE	[1, 3, 1, 3, 2]	true	1224308	3	video_playing_IP	true	1219313	Fixations	4737.00	11	3	Trial: 2	1218968	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab2	control_session	2	two_occluders_familiarisation.mp4	7	5200
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	5908.00	515	405	0.0855	false	.	405	11	3	[3, 1]	5	4935	2	775.20	268.30	0	405	5340	0.0909	1	60.20	14.90	4935	0.58	-8.19	4934	10	4921	0.0909	1	0	0	0	0	0	0	.	2	.	IA_end_position	405	1	4935	775.20	268.30	405	5340	0.0909	1	60.20	14.90	4935	0.58	-8.19	4934	10	4921	715	0	0	5908.00	5908.00	.	1	1	0	0	0	0	405	965	1	.	.	.	.	.	.	.	.	.	.	.	.	405	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[1, 3, 1, 3, 2]	true	1224308	3	video_playing_IP	true	1219313	Fixations	4737.00	11	3	Trial: 2	1218968	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab2	control_session	2	two_occluders_familiarisation.mp4	7	5200
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	786432.00	5839.73	768	4737	1.0000	false	.	89	1	.	.	1	345	0	606.90	289.10	1	4737	5340	1.0000	11	606.90	.	345	.	.	.	.	.	1.0000	11	1	1	3	243	405	2176	.	3	.	screen_aoi	405	1	4935	775.20	268.30	4737	5340	1.0000	11	606.90	.	345	0.58	-8.19	4934	10	4921	0	0	0	6531.00	4669.00	.	0	0	1	2	1	2	4502	1024	1	146	1	451	537.90	318.50	.	.	.	.	.	.	.	2797	0	.	.	242	1	660	127.10	308.20	.	.	.	.	.	.	.	0	RECTANGLE	[1, 3, 1, 3, 2]	true	1224308	3	video_playing_IP	true	1219313	Fixations	4737.00	11	3	Trial: 2	1218968	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab2	control_session	2	two_occluders_familiarisation.mp4	7	5200
Ace_1	3	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	5658.00	515	678	0.1426	false	.	224	1	.	.	1	434	0	504.90	291.20	1	224	657	0.1111	1	117.90	.	434	.	.	.	.	.	0.2222	2	0	0	2	0	0	891	.	1	.	IA_IA_between_screens	454	2	3579	541.30	236.00	454	4032	0.1111	1	154.30	59.70	3579	5.29	-2.59	3578	5	3518	387	1	1	6651.00	4665.00	.	1	1	0	0	0	0	224	637	2	454	2	3579	541.30	236.00	454	4032	0.1111	1	154.30	59.70	3579	224	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[1, 3, 1, 3, 2]	true	1230578	3	video_playing_IP	true	1225578	Fixations	4753.00	9	3	Trial: 3	1225144	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	3	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab3	control_session	3	two_occluders_familiarisation.mp4	8	5200
Ace_1	3	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	6246.00	515	730	0.1536	false	.	423	8	3	[3, 1]	5	4685	2	716.80	246.70	0	730	5434	0.2222	2	1.80	55.30	4685	0.76	-2.90	4684	7	4672	0.2222	2	0	1	0	0	307	0	.	2	.	IA_end_position	307	1	5127	796.70	254.10	730	5434	0.2222	2	1.80	55.30	4685	0.86	-19.50	5126	8	5108	715	0	0	6342.00	6150.00	.	1	1	0	0	0	0	730	965	1	307	1	5127	796.70	254.10	.	.	.	.	.	.	.	730	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	215	RECTANGLE	[1, 3, 1, 3, 2]	true	1230578	3	video_playing_IP	true	1225578	Fixations	4753.00	9	3	Trial: 3	1225144	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	3	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab3	control_session	3	two_occluders_familiarisation.mp4	8	5200
Ace_1	3	Ace_1.edf	RIGHT	RECORDING_SESSION	786432.00	5972.78	768	4753	1.0000	false	.	224	1	.	.	1	434	0	504.90	291.20	1	4753	5434	1.0000	9	504.90	.	434	.	.	.	.	.	1.0000	9	1	1	3	454	423	2454	.	3	.	screen_aoi	307	1	5127	796.70	254.10	4753	5434	1.0000	9	504.90	.	434	0.86	-19.50	5126	8	5108	0	0	0	6651.00	4653.00	.	0	0	1	2	1	2	4529	1024	1	272	1	717	121.40	319.30	.	.	.	.	.	.	.	3345	0	.	.	807	1	999	102.50	270.10	.	.	.	.	.	.	.	0	RECTANGLE	[1, 3, 1, 3, 2]	true	1230578	3	video_playing_IP	true	1225578	Fixations	4753.00	9	3	Trial: 3	1225144	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	3	False	white	(230, 230, 230)	w_minion32.mp4	hab	30.3	hab3	control_session	3	two_occluders_familiarisation.mp4	8	5200
Ace_1	4	Ace_1.edf	RIGHT	RECORDING_SESSION	75000.00	6466.67	515	1812	0.3835	false	.	137	1	.	.	1	313	0	619.80	305.90	1	137	449	0.1250	1	232.80	.	313	.	.	.	.	.	0.3750	3	1	1	1	1230	296	419	.	1	.	IA_IA_between_screens	1230	2	3495	549.80	239.80	1675	4724	0.2500	2	108.40	113.50	3039	0.57	9.42	3494	5	3484	387	1	1	7260.00	5375.00	.	1	1	0	0	0	0	137	637	2	445	2	3039	495.40	248.90	1675	4724	0.2500	2	108.40	113.50	3039	137	0	.	.	1230	2	3495	549.80	239.80	.	.	.	.	.	.	.	215	RECTANGLE	[1, 3, 1, 2]	true	1236721	3	video_playing_IP	true	1231726	Fixations	4725.00	8	3	Trial: 4	1231413	3	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	4	False	white	(230, 230, 230)	w_minion32.mp4	con	30.3	test1	control_session	4	two_occluders_reappear.mp4	9	8500
