start,end,id,x_l,y_up,x_r,y_low,label
0,0,3,-94,316,16,426,ball_AOI
0,140,3,-94,316,16,426,ball_AOI
141,290,3,-73,314,37,424,ball_AOI
291,441,3,-45,316,65,426,ball_AOI
442,491,3,-20,319,90,429,ball_AOI
492,591,3,-5,316,105,426,ball_AOI
592,742,3,7,311,117,421,ball_AOI
743,892,3,37,313,147,423,ball_AOI
893,992,3,64,314,174,424,ball_AOI
993,1042,3,77,310,187,420,ball_AOI
1043,1193,3,89,314,199,424,ball_AOI
1194,1343,3,111,313,221,423,ball_AOI
1344,1494,3,137,313,247,423,ball_AOI
1495,1644,3,165,316,275,426,ball_AOI
1645,1795,3,190,316,300,426,ball_AOI
1796,1945,3,217,313,327,423,ball_AOI
1946,2046,3,245,318,355,428,ball_AOI
2047,2197,3,262,316,372,426,ball_AOI
2198,2347,3,286,316,396,426,ball_AOI
2348,2498,3,314,314,424,424,ball_AOI
2499,2648,3,338,316,448,426,ball_AOI
2649,2799,3,365,318,475,428,ball_AOI
2800,2949,3,390,314,500,424,ball_AOI
2950,3100,3,415,316,525,426,ball_AOI
3101,3250,3,444,313,554,423,ball_AOI
3251,3401,3,470,318,580,428,ball_AOI
3402,3552,3,495,313,605,423,ball_AOI
3553,3702,3,520,311,630,421,ball_AOI
3703,3853,3,545,319,655,429,ball_AOI
3854,4003,3,574,314,684,424,ball_AOI
4004,4154,3,598,318,708,428,ball_AOI
4155,4304,3,626,314,736,424,ball_AOI
4305,4455,3,650,314,760,424,ball_AOI
4456,4605,3,675,316,785,426,ball_AOI
4606,4756,3,703,316,813,426,ball_AOI
4757,4907,3,728,316,838,426,ball_AOI
4908,4987,3,755,314,865,424,ball_AOI
4988,8500,3,768,313,878,423,ball_AOI
8500,8500,3,768,313,878,423,ball_AOI
