,Subject,trial,exploration_time_apparatus,exploration_time_target,phase_occlusion_exp,exploration_time_distractor1,exploration_time_distractor2,prop_looking_target_distractor,prop_looking_target_phase,prop_looking_apparatus_phase,dog_ID,breed,date_of_birth,test_date,age,sex,neutering_status,task,condition,object_l..dog.perspective.,object_m,object_r,scored.by,date
1,Panda,occlusion_exp,4.583331304,142.3332703,181.0165865,0,0,1,0.786299604,0.025319952,13,american_staffordshire_terrier,14/03/2019,12/02/2022,34,f,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,
2,Alfonso,occlusion_exp,7.149995055,52.61663029,181.716541,2.199998479,54.48329565,0.481396767,0.289553334,0.039346969,34,mix,01/10/2015,23/02/2022,76,m,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,23.2.2022.
3,Alou,occlusion_exp,1.466666667,1.383333333,181.9,1.1,0.583333333,0.451086957,0.007604911,0.008063038,6,australian_shepherd,15/03/2016,10/02/2022,70,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,
4,Aria,occlusion_exp,1.716666271,0,184.0999576,0.166666628,0.516666548,0,0,0.009324642,30,australian_shepherd,26/03/2019,07/03/2022,35,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,24.3.2022.
5,Aslan4,occlusion_exp,0,1.666666667,182.5166667,0,0,1,0.009131586,0,82,miniature_spitz,12/09/2018,17/03/2022,42,m,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.
6,Baerli,occlusion_exp,0.34999974,1.533332192,182.8665306,0,3.16666431,0.326241135,0.00838498,0.001913963,73,irish_glen_of_imaal_terrier,30/03/2015,10/03/2022,83,m,n,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Laura,26.4.2022.
7,Bento,occlusion_exp,0.899999612,9.83332909,188.9999185,1.566665991,1.816665883,0.744010088,0.052028219,0.004761905,23,mix,02/10/2020,19/02/2022,16,m,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,14.03.2022
8,Butch,occlusion_exp,0,106.7,184.0166667,1.533333333,3.5,0.954952267,0.579838783,0,22,boxer,07/05/2019,19/02/2022,33,m,i,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,4.3.2022.
9,Cacho,occlusion_exp,7.216666667,23.46666667,181.7166667,1.683333333,24.4,0.473595695,0.129138769,0.03971384,16,retriever,25/04/2018,16/02/2022,45,m,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,24.2.2022.
10,Caruso,occlusion_exp,38.73330821,11.69999241,183.3832144,1.616665618,0.866666105,0.824911868,0.063800782,0.211215123,84,border_collie,02/05/2015,18/02/2022,81,m,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Ana,30.3.2022.
11,Cela,occlusion_exp,1.266666666,93.1,181.7833333,0,0.633333333,0.993243243,0.512148162,0.006968002,57,border_collie,19/09/2019,05/03/2022,29,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,5.4.2022.
12,Crash,occlusion_exp,1.933332884,0.466666558,182.7666242,2.366666117,0.599999861,0.13592233,0.002553347,0.010578151,7,australian_shepherd,05/03/2018,10/02/2022,47,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,
13,Cuba,occlusion_exp,0,181.8665761,182.4832425,0,0,1,0.996620696,0,69,staffordshire_bull_terrier,24/11/2017,08/03/2022,51,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,22.4.2022.
14,Cully,occlusion_exp,60.91663948,27.59998768,181.1165858,9.899995583,6.533330419,0.62679788,0.152387964,0.336339376,76,cocker_spaniel,13/06/2018,14/03/2022,45,m,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,29.4.2022.
15,Cwinta,occlusion_exp,0,1.05,181.8,0,0,1,0.005775578,0,58,kooikerhondje,27/04/2016,05/03/2022,70,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,5.4.2022.
16,Django2,occlusion_exp,0,23.2,186.65,0.85,0,0.964656965,0.124296812,0,31,american_staffordshire_terrier,24/06/2015,22/02/2022,79,m,i,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Laura,23.3.2022.
