,Subject,trial,exploration_time_apparatus,exploration_time_target,phase_occlusion_exp,exploration_time_distractor1,exploration_time_distractor2,first_choice_target,target_choice,dog_ID,breed,date_of_birth,test_date,age,sex,neutering_status,task,condition,object_l..dog.perspective.,object_m,object_r,scored.by,date
1,Panda,occlusion_exp,384.2998298,342.3998484,335.5998514,999999,999999,1,1,13,american_staffordshire_terrier,14/03/2019,12/02/2022,34,f,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,
2,Alfonso,occlusion_exp,359.4830847,308.43312,307.5831206,362.949749,320.1497786,1,1,34,mix,01/10/2015,23/02/2022,76,m,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,23.2.2022.
3,Alou,occlusion_exp,339.5833333,332.9,318.7166667,319.0833333,356.8333333,0,1,6,australian_shepherd,15/03/2016,10/02/2022,70,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,
4,Aria,occlusion_exp,323.8165921,999999,313.9999277,322.7499257,326.3999248,0,0,30,australian_shepherd,26/03/2019,07/03/2022,35,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,24.3.2022.
5,Aslan4,occlusion_exp,NA,481.2,373.1333333,999999,999999,1,1,82,miniature_spitz,12/09/2018,17/03/2022,42,m,n,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.
6,Baerli,occlusion_exp,347.133075,340.1330802,318.9664293,999999,342.649745,1,1,73,irish_glen_of_imaal_terrier,30/03/2015,10/03/2022,83,m,n,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Laura,26.4.2022.
7,Bento,occlusion_exp,484.5497909,383.7498344,381.5998354,387.3498329,385.9831668,1,1,23,mix,02/10/2020,19/02/2022,16,m,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,14.03.2022
8,Butch,occlusion_exp,NA,271.3666667,268.95,272.35,269.9333333,0,1,22,boxer,07/05/2019,19/02/2022,33,m,i,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,4.3.2022.
9,Cacho,occlusion_exp,394.5833333,372.8166667,371.9666667,380.9,392.3166667,1,1,16,retriever,25/04/2018,16/02/2022,45,m,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,24.2.2022.
10,Caruso,occlusion_exp,335.4164491,332.6497842,331.8164515,334.4497831,333.583117,1,1,84,border_collie,02/05/2015,18/02/2022,81,m,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Ana,30.3.2022.
11,Cela,occlusion_exp,281.2666667,253.5666667,252.65,999999,254.3166667,1,1,57,border_collie,19/09/2019,05/03/2022,29,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,5.4.2022.
12,Crash,occlusion_exp,315.73326,306.883262,302.8832629,306.2165955,307.5832619,0,1,7,australian_shepherd,05/03/2018,10/02/2022,47,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,
13,Cuba,occlusion_exp,NA,245.6332111,245.0165447,999999,999999,1,1,69,staffordshire_bull_terrier,24/11/2017,08/03/2022,51,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,22.4.2022.
14,Cully,occlusion_exp,446.3164675,442.866469,442.2664693,444.9498014,444.1664685,1,1,76,cocker_spaniel,13/06/2018,14/03/2022,45,m,i,occlusion,congruent,yellow_ball,dumbell,yellow_ring,Laura,29.4.2022.
15,Cwinta,occlusion_exp,NA,287.0166667,215.5833333,999999,999999,1,1,58,kooikerhondje,27/04/2016,05/03/2022,70,f,i,occlusion,congruent,dumbell,yellow_ring,yellow_ball,Ana,5.4.2022.
16,Django2,occlusion_exp,NA,282.05,281.45,287.75,999999,1,1,31,american_staffordshire_terrier,24/06/2015,22/02/2022,79,m,i,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Laura,23.3.2022.
17,Duana,occlusion_exp,340.7166667,296.7833333,273.7,344.7166667,339.9166667,1,1,64,irish_glen_of_imaal_terrier,03/12/2016,07/03/2022,63,f,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Laura,15.4.2022.
18,Emil8,occlusion_exp,NA,300.0497768,298.8997777,416.7663567,306.1997723,1,1,53,poodle,28/10/2019,02/03/2022,28,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Laura,1.4.2022.
19,Emma19,occlusion_exp,NA,317.2833333,287.8666667,999999,316.1333333,0,1,47,mix,25/11/2020,28/02/2022,15,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
20,Felix6,occlusion_exp,NA,999999,318.0665905,342.0332514,384.6499079,0,0,72,german_spitz,17/12/2015,15/03/2022,74,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,23.4.2022.
21,Filou8,occlusion_exp,314.1166667,271.2,269.4333333,270.5833333,323.8333333,0,1,25,labrador_retriever,01/09/2011,06/03/2022,126,m,n,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,10.3.2022.
22,Finn8,occlusion_exp,287.3166016,271.7499385,270.0999389,285.1499355,272.5332717,1,1,80,shetland_sheepdog,16/11/2016,15/03/2022,63,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.
23,Finne-Failbhe,occlusion_exp,289.6166028,280.2499382,278.3499386,282.2332711,281.0332713,1,1,81,irish_glen_of_imaal_terrier,12/12/2019,17/03/2022,27,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.
24,Fiona,occlusion_exp,NA,314.6499281,313.8999283,315.6499279,317.8332607,1,1,4,rhodesian_ridgeback,03/03/2012,09/02/2022,119,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Christoph,
25,Gismo4,occlusion_exp,326.0333333,323.4666667,322.8333333,324.0666667,334.9,1,1,26,mix,16/01/2015,21/02/2022,85,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura ,06.03.2022
26,Grace2,occlusion_exp,363.2664163,309.4831201,291.9164655,317.1664481,313.3497841,1,1,12,boxer,13/03/2019,12/02/2022,34,f,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Laura,23.2.2022.
27,Grisu2,occlusion_exp,301.8165871,263.283264,262.8165974,266.6499297,999999,1,1,48,vizsla,22/10/2018,28/02/2022,40,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
28,Henry2,occlusion_exp,342.9833333,999999,316.1666667,317.7333333,318.9333333,0,0,36,irish_setter,07/03/2015,23/02/2022,83,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Ana,24.3.2022.
29,Henry3,occlusion_exp,307.5831604,255.4165231,249.683193,257.7165218,256.249856,1,1,50,weimaraner,01/05/2018,01/03/2022,46,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
30,Kali2,occlusion_exp,355.7330939,353.1830956,352.149763,354.1164283,355.0330943,1,1,15,border_collie,22/09/2020,14/02/2022,16,f,i,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Ana,19.3.2022.
31,Kylie,occlusion_exp,NA,403.2666667,389.6333333,405.9666667,407.0666667,1,1,61,australian_shepherd,05/05/2017,06/03/2022,58,f,?,occlusion,incongruent,yellow_ball,yellow_ring,dumbell,Laura,10.4.2022.
32,Lea3,occlusion_exp,384.9499112,326.7665913,324.8665918,325.4999249,326.3165914,0,1,17,parson_russell_terrier,30/08/2014,17/02/2022,89,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Laura,25.2.2022.
33,Leaf,occlusion_exp,NA,260.6998757,258.1332103,278.0332008,275.1832021,1,1,78,golden_retriever,21/05/2012,14/03/2022,117,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,2.5.2022.
34,Liva,occlusion_exp,NA,431.5165659,416.9999026,433.883232,430.7498994,0,1,41,golden_retriever,01/05/2014,24/02/2022,93,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,26.3.2022.
35,Loki4,occlusion_exp,353.3665842,267.6999375,267.3332709,269.1999372,270.2999369,1,1,24,mix,01/09/2014,21/02/2022,89,m,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Laura,6.3.2022.
36,Lolo,occlusion_exp,NA,286.25,277.4333333,343.8333333,348.1333333,1,1,35,mix,01/01/2016,23/02/2022,73,f,n,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,24.3.2022.
37,Lucy17,occlusion_exp,348.1666667,337.5333333,336.95,344.2666667,343.25,1,1,49,lakeland_terrier,15/05/2016,01/03/2022,69,f,n,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Ana,29.3.2022.
38,Lumpi,occlusion_exp,NA,999999,314.4666667,316.1166667,322.7666667,0,0,66,mix,15/10/2015,07/03/2022,76,m,i,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,15.4.2022.
39,Manni2,occlusion_exp,235.1832717,320.0999161,231.5499393,232.6332724,999999,0,1,43,pyrenean_sheep_dog,31/05/2016,26/02/2022,68,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,27.3.2022.
40,Maya,occlusion_exp,364.2166667,276.8333333,270.55,281.9,284.1166667,1,1,38,border_collie,20/02/2017,08/03/2022,60,f,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,25.3.2022.
