"","Subject","trial","looking_time_reli","phase_reli","prop_looking_reli","looking_time","phase","prop_looking"
"1","Alou","occlusion_demo1",9.7,9.783333333,0.991482112469897,8.816666667,8.816666667,1
"2","Alou","occlusion_demo2",8.633333333,9.5,0.908771929789474,8.1,8.1,1
"3","Alou","occlusion_demo3",19.333333334,27.35,0.70688604511883,20.583333336,27.81666667,0.739964050336733
"4","Crash","occlusion_demo1",8.366664722,8.633331327,0.969111969076639,5.799998652,8.399998048,0.690476190453515
"5","Crash","occlusion_demo2",9.583331106,9.583331106,1,5.366665419,9.416664478,0.569911504390759
"6","Crash","occlusion_demo3",27.033327051,31.64999264,0.854133754736949,19.716662084,31.06665945,0.634656652278074
"7","Filou8","occlusion_demo1",10.81666667,10.83333333,0.99846153907645,8.933333333,8.933333333,1
"8","Filou8","occlusion_demo2",23.500000003,10.63333333,2.21003134893731,7.15,8.533333333,0.83789062503273
"9","Filou8","occlusion_demo3",9.816666667,28.28333333,0.347083087854694,23.633333333,27.08333333,0.872615384710476
"10","Finn8","occlusion_demo1",5.366665452,9.49999785,0.564912280690674,3.749999151,8.199998144,0.457317073143962
"11","Finn8","occlusion_demo2",6.816665124,11.9499973,0.570432356834089,5.833332013,9.899997759,0.589225589237833
"12","Finn8","occlusion_demo3",12.916663744,25.06666099,0.515292553290322,11.033330837,24.1666612,0.456551724116528
"13","Grace2","occlusion_demo1",9.816659902,9.816659902,1,9.566660074,9.566660074,1
"14","Grace2","occlusion_demo2",10.98332576,10.96665911,1.00151975636635,10.54999273,10.54999273,1
"15","Grace2","occlusion_demo3",27.416647771,27.41664777,1.00000000003647,27.799980846,27.79998084,1.00000000021583
"16","Kobe","occlusion_demo1",11.83333077,11.84999743,0.998593530496656,10.9166643,12.09999738,0.902203856510257
"17","Kobe","occlusion_demo2",11.46666418,11.46666418,1,1.766666284,11.3666642,0.1554252200043
"18","Kobe","occlusion_demo3",20.766662167,26.91666084,0.771517027704243,18.116662742,27.79999398,0.651678657018184
"19","Lea3","occlusion_demo2",10.58333089,10.61666422,0.996860282164975,8.366664738,9.26666453,0.902877697893743
"20","Lea3","occlusion_demo3",28.93332666,28.89999334,1.00115340234193,28.099993516,28.71666004,0.978525827058543
"21","Lea3","occlusion_demo1",0,11.63333065,0,10.61666422,10.91666415,0.972519084046384
"22","Leni5","occlusion_demo1",6.55,9.416666667,0.695575221214316,6.683333333,8.4,0.795634920595238
"23","Leni5","occlusion_demo2",10,10.73333333,0.931677018922881,3.733333333,8.733333333,0.427480916008683
"24","Leni5","occlusion_demo3",13.450000001,25.36666667,0.5302233902457,15.183333333,25.18333333,0.602911978888539
"25","Manni2","occlusion_demo1",4.316665536,11.16666374,0.386567164240588,8.666664395,9.116664278,0.950639853648453
"26","Manni2","occlusion_demo2",22.149994193,11.98333019,1.84840055659019,8.083331216,10.13333068,0.797697368344442
"27","Manni2","occlusion_demo3",7.966664579,27.21665954,0.29271279847152,21.53332769,25.8166599,0.834086507449401
"28","Maya","occlusion_demo1",11,11,1,9.566666667,9.566666667,1
"29","Maya","occlusion_demo2",9.133333333,11.53333333,0.79190751465084,8.166666666,9.266666667,0.881294963925133
"30","Maya","occlusion_demo3",23.250000003,25.7,0.904669260817121,22.550000003,23.4,0.963675213803419
"31","Ronja7","occlusion_demo1",16.216666667,10.56666667,1.53470031500483,9.2,9.616666667,0.956672443641016
"32","Ronja7","occlusion_demo2",1.833333333,10.1,0.181518151782178,6.616666667,8.716666667,0.759082217982444
"33","Ronja7","occlusion_demo3",31.23333333,31.23333333,1,29.099999997,30.01666667,0.969461410119993
"34","Ronja8","occlusion_demo1",9.333331323,9.333331323,1,7.283331764,8.23333156,0.884615384540641
"35","Ronja8","occlusion_demo2",7.199998449,7.949998287,0.90566037740833,7.199998449,7.79999832,0.923076923047337
"36","Ronja8","occlusion_demo3",26.316660993,29.03332708,0.906429391315906,26.86666088,27.5333274,0.975786925048514
"37","Samba2","occlusion_demo1",10.68333066,10.68333066,1,10.48333071,10.48333071,1
"38","Samba2","occlusion_demo2",22.84999428,10.56666402,2.16246056813681,10.28333076,10.28333076,1
"39","Samba2","occlusion_demo3",17.499995625,29.79999254,0.587248322344714,27.483326455,27.48332646,0.999999999818072
"40","Samira","occlusion_demo1",10.73333333,10.76666667,0.996904024149565,10.51666667,10.51666667,1
"41","Samira","occlusion_demo2",16.85,11.51666667,1.46309696050272,10.51666667,12.6,0.834656084920635
"42","Samira","occlusion_demo3",17.866666667,26.38333333,0.677195199087454,22.55,26.88333333,0.838809671523721
