,Subject,Value,play_reli,play_present_reli,trial,play,dog_ID,breed,date_of_birth,test_date,age,sex,neutering_status,task,condition,object_l..dog.perspective.,object_m,object_r,scored.by,date,play_present
1,Filou8,drop,9,1,occlusion_exp,3,25,labrador_retriever,01/09/2011,06/03/2022,126,m,n,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,10.3.2022.,1
2,Grace2,paw,8,1,occlusion_exp,15,12,boxer,13/03/2019,12/02/2022,34,f,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Laura,23.2.2022.,1
3,Ronja7,drop,2,1,occlusion_exp,2,11,schnauzer,28/03/2015,12/02/2022,82,f,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Ana,,1
4,Ronja8,drop,18,1,occlusion_exp,17,1,jack_russell_terrier,04/06/2020,08/02/2022,20,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,,1
5,Ronja8,paw,3,1,occlusion_exp,11,1,jack_russell_terrier,04/06/2020,08/02/2022,20,f,i,occlusion,incongruent,yellow_ball,dumbell,yellow_ring,Ana,,1
6,Samba2,drop,4,1,occlusion_exp,3,21,australian_shepherd,06/06/2017,19/02/2022,56,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,,1
7,Samba2,paw,1,1,NA,0,21,australian_shepherd,06/06/2017,19/02/2022,56,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,,0
8,Samira,drop,7,1,occlusion_exp,4,52,yorkshire_terrier,04/05/2014,01/03/2022,93,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,1.4.2022.,1
9,Samira,paw,6,1,occlusion_exp,21,52,yorkshire_terrier,04/05/2014,01/03/2022,93,f,n,occlusion,congruent,dumbell,yellow_ball,yellow_ring,Laura,1.4.2022.,1
10,Alou,drop,0,NA,NA,0,6,australian_shepherd,15/03/2016,10/02/2022,70,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,,0
11,Crash,drop,0,NA,NA,0,7,australian_shepherd,05/03/2018,10/02/2022,47,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,,0
12,Finn8,drop,0,NA,NA,0,80,shetland_sheepdog,16/11/2016,15/03/2022,63,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.,0
13,Grace2,drop,0,NA,occlusion_exp,2,12,boxer,13/03/2019,12/02/2022,34,f,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Laura,23.2.2022.,1
14,Kobe,drop,0,NA,NA,0,62,mix,07/09/2013,06/03/2022,101,m,i,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Laura,12.4.2022.,0
15,Lea3,drop,0,NA,NA,0,17,parson_russell_terrier,30/08/2014,17/02/2022,89,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Laura,25.2.2022.,0
16,Leni5,drop,0,NA,NA,0,56,mix,15/11/2017,03/03/2022,51,f,i,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,5.4.2022.,0
17,Manni2,drop,0,NA,NA,0,43,pyrenean_sheep_dog,31/05/2016,26/02/2022,68,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,27.3.2022.,0
18,Maya,drop,0,NA,NA,0,38,border_collie,20/02/2017,08/03/2022,60,f,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,25.3.2022.,0
19,Alou,paw,0,NA,NA,0,6,australian_shepherd,15/03/2016,10/02/2022,70,f,n,occlusion,congruent,yellow_ring,yellow_ball,dumbell,Laura,,0
20,Crash,paw,0,NA,NA,0,7,australian_shepherd,05/03/2018,10/02/2022,47,m,i,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Laura,,0
21,Filou8,paw,0,NA,NA,0,25,labrador_retriever,01/09/2011,06/03/2022,126,m,n,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,10.3.2022.,0
22,Finn8,paw,0,NA,NA,0,80,shetland_sheepdog,16/11/2016,15/03/2022,63,m,i,occlusion,congruent,yellow_ring,dumbell,yellow_ball,Ana,30.3.2022.,0
23,Kobe,paw,0,NA,NA,0,62,mix,07/09/2013,06/03/2022,101,m,i,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Laura,12.4.2022.,0
24,Lea3,paw,0,NA,NA,0,17,parson_russell_terrier,30/08/2014,17/02/2022,89,f,i,occlusion,incongruent,yellow_ring,dumbell,yellow_ball,Laura,25.2.2022.,0
25,Leni5,paw,0,NA,NA,0,56,mix,15/11/2017,03/03/2022,51,f,i,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,5.4.2022.,0
26,Manni2,paw,0,NA,NA,0,43,pyrenean_sheep_dog,31/05/2016,26/02/2022,68,m,i,occlusion,incongruent,yellow_ring,yellow_ball,dumbell,Ana,27.3.2022.,0
27,Maya,paw,0,NA,NA,0,38,border_collie,20/02/2017,08/03/2022,60,f,n,occlusion,congruent,yellow_ball,yellow_ring,dumbell,Ana,25.3.2022.,0
28,Ronja7,paw,0,NA,occlusion_exp,4,11,schnauzer,28/03/2015,12/02/2022,82,f,n,occlusion,incongruent,dumbell,yellow_ball,yellow_ring,Ana,,1
